token, sentiment
좋다/Adjective, 1
있다/Adjective, 1
같다/Adjective, 1
바르다/Verb, 1
향/Noun, 1
않다/Verb, 0
없다/Adjective, 0
자다/Verb, 1
너무/Noun, 0
때/Noun, 0
진짜/Noun, 1
좀/Noun, 0
아니다/Adjective, 0
촉촉하다/Adjective, 1
사다/Verb, 1
그냥/Noun, 0
안/Noun, 0
그렇다/Adjective, 1
더/Noun, 1
괜찮다/Adjective, 1
정말/Noun, 1
별로/Noun, 0
모르다/Verb, 0
냄새/Noun, 0
많이/Adverb, 1
나다/Verb, 0
주다/Verb, 1
무난/Noun, 1
건조하다/Adjective, 0
많다/Adjective, 1
지속/Noun, 1
구매/Noun, 1
다른/Noun, 0
엄청/Adverb, 1
추천/Noun, 1
받다/Verb, 1
보습/Noun, 1
예쁘다/Adjective, 1
트러블/Noun, 0
단종/Noun, 0
약간/Noun, 0
좋아하다/Adjective, 1
조금/Noun, 0
커버/Noun, 1
수분/Noun, 1
싶다/Verb, 1
크다/Verb, 1
각질/Noun, 0
비싸다/Adjective, 0
가볍다/Adjective, 1
흡수/Noun, 1
건성/Noun, 0
왜/Noun, 0
향수/Noun, 1
때문/Noun, 0
순하다/Adjective, 1
오래/Noun, 1
이쁘다/Adjective, 1
부드럽다/Adjective, 1
해주다/Verb, 1
지다/Verb, 0
재다/Verb, 0
편이/Noun, 1
자극/Noun, 0
살짝/Noun, 0
넘다/Verb, 1
짱/Noun, 1
지워지다/Verb, 0
모공/Noun, 0
올라오다/Verb, 0
완전/Noun, 1
없이/Adverb, 0
여드름/Noun, 0
뜨다/Verb, 0
딱/Adverb, 1
적다/Verb, 0
선물/Noun, 1
지성/Noun, 0
아쉽다/Adjective, 0
알다/Verb, 1
버리다/Verb, 0
막/Noun, 0
나쁘다/Adjective, 0
단점/Noun, 0
저렴/Noun, 1
확실하다/Adjective, 1
민감/Noun, 0
심하다/Adjective, 0
해보다/Verb, 1
기능/Noun, 1
거의/Noun, 0
딱하다/Adjective, 0
은은하다/Adjective, 1
무겁다/Adjective, 0
만족/Noun, 1
기름/Noun, 0
닦다/Verb, 0
적당하다/Adjective, 1
편하다/Adjective, 1
아주/Noun, 1
또/Noun, 1
얇다/Adjective, 0
친구/Noun, 1
강하다/Adjective, 1
점/Noun, 0
향기/Noun, 1
꼭/Noun, 1
시원하다/Adjective, 1
못/Noun, 0
잘되다/Verb, 1
다르다/Adjective, 0
남다/Verb, 0
찾다/Verb, 1
구입/Noun, 1
인생/Noun, 1
덜/Noun, 0
매트/Noun, 0
제일/Noun, 1
좋아지다/Adjective, 1
진정/Noun, 1
떨어지다/Verb, 0
늘다/Verb, 1
지나다/Verb, 0
다만/Noun, 0
제거/Noun, 0
기다/Verb, 0
최고/Noun, 1
꽤/Noun, 1
밀착/Noun, 1
장점/Noun, 1
되게/Adverb, 1
금방/Noun, 1
전혀/Noun, 0
자연스럽다/Adjective, 1
매우/Noun, 1
굉장하다/Adjective, 1
야하다/Adjective, 0
짜다/Verb, 0
자주/Noun, 1
비슷하다/Adjective, 1
맘/Noun, 1
잡다/Verb, 1
주름/Noun, 0
케어/Noun, 1
힘들다/Adjective, 0
두껍다/Adjective, 0
밀리다/Verb, 0
작다/Adjective, 0
아깝다/Adjective, 0
달달/Noun, 1
사보다/Verb, 1
무너지다/Verb, 0
건지다/Verb, 1
자연/Noun, 1
아프다/Adjective, 0
아직/Noun, 0
나름/Noun, 1
덕/Noun, 1
부담/Noun, 0
당기다/Verb, 0
적임/Noun, 1
찌다/Verb, 0
밉다/Adjective, 0
꾸준하다/Adjective, 1
걍/Adverb, 0
항상/Noun, 1
부각/Noun, 0
밝다/Verb, 1
끼다/Verb, 0
솔직하다/Adjective, 0
뭉치/Noun, 0
불편하다/Adjective, 0
가성/Noun, 1
덥다/Adjective, 0
워터/Noun, 1
미백/Noun, 1
약하다/Adjective, 0
없어지다/Verb, 0
귀찮다/Adjective, 0
빛/Noun, 1
가장/Noun, 1
굳다/Adjective, 0
날림/Noun, 0
이상하다/Adjective, 0
어울리다/Verb, 1
절대/Noun, 0
훨씬/Adverb, 1
번지/Noun, 0
그닥/Noun, 0
굳이/Noun, 0
백탁/Noun, 0
수정/Noun, 0
쫀쫀/Noun, 1
상큼/Noun, 1
굿굿/Noun, 1
예민/Noun, 0
개선/Noun, 1
사라지다/Verb, 0
좁쌀/Noun, 0
피지/Noun, 0
최악/Noun, 0
바꾸다/Verb, 0
영양/Noun, 1
깔끔하다/Adjective, 1
답답하다/Adjective, 0
유명하다/Adjective, 1
묽/Noun, 0
부족하다/Adjective, 0
뻑뻑/Noun, 0
건조/Noun, 0
고민/Noun, 0
어렵다/Adjective, 0
문제/Noun, 0
화사하다/Adjective, 1
뒤집어지다/Verb, 0
가라앉다/Verb, 1
달다/Verb, 1
이상/Noun, 0
잔향/Noun, 1
별/Noun, 1
기대하다/Adjective, 1
독하다/Adjective, 0
싫다/Adjective, 0
신기하다/Adjective, 1
엄청나다/Adjective, 1
매끈하다/Adjective, 1
부담스럽다/Adjective, 0
가능하다/Adjective, 1
놀라다/Verb, 1
굿/Noun, 1
촉촉/Noun, 1
유지/Noun, 1
동안/Noun, 1
